"analysisId","analysisDescription","outcomeId","outcomeName","comparatorId","comparatorName","targetId","targetName","rr","ci95lb","ci95ub","p","target","comparator","targetDays","comparatorDays","eventsTarget","eventsComparator","logRr","seLogRr"
1,"PS 5 strata",16741,"[COVID ID164 V1] Death",16736,"[Epi 786] C1_ No_Famotidine",16733,"[Epi 786] T1_Famotidine",1.03089327665189,0.894938266273358,1.18112905709407,0.667316725795694,1623,24404,13262,199672,214,3923,0.0304256852751813,0.070784807925305
1,"PS 5 strata",16741,"[COVID ID164 V1] Death",16738,"[Epi 786] C2_ hydroxychloroquine",16733,"[Epi 786] T1_Famotidine",1.02632924224829,0.847564272058654,1.23603045179828,0.787151802346614,1186,5047,9949,40156,159,686,0.0259885941490199,0.0962501363420382
1,"PS 5 strata",432867,"Hyperlipidemia",16736,"[Epi 786] C1_ No_Famotidine",16733,"[Epi 786] T1_Famotidine",1.17546984535535,0.40687491815333,2.69136448101908,0.737300935594374,1623,24404,13215,199433,5,55,0.161667936057597,0.48197257426811
1,"PS 5 strata",16741,"[COVID ID164 V1] Death",16739,"[Epi 786] C3_PPI",16733,"[Epi 786] T1_Famotidine",1.14354879146489,0.940955282539793,1.38725323310654,0.175570375277329,1527,1855,12337,16752,196,282,0.134136402101154,0.0990286978759656
1,"PS 5 strata",79917,"Acquired deformity of toe",16739,"[Epi 786] C3_PPI",16733,"[Epi 786] T1_Famotidine",NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA
1,"PS 5 strata",4080762,"Psychoactive substance dependence",16739,"[Epi 786] C3_PPI",16733,"[Epi 786] T1_Famotidine",NA,NA,NA,NA,1527,1855,12337,16757,0,0,NA,NA
1,"PS 5 strata",16743,"[Epi 786] O_hosp requiring intensive services with C19 or died",16739,"[Epi 786] C3_PPI",16733,"[Epi 786] T1_Famotidine",1.12795093033317,0.962213813512687,1.32084732847353,0.136266090638518,1527,1855,10443,14100,298,410,0.120402650651963,0.0808157808794945
1,"PS 5 strata",438120,"Opioid dependence",16738,"[Epi 786] C2_ hydroxychloroquine",16733,"[Epi 786] T1_Famotidine",NA,NA,NA,NA,1186,5047,9949,40158,0,0,NA,NA
1,"PS 5 strata",433736,"Obesity",16739,"[Epi 786] C3_PPI",16733,"[Epi 786] T1_Famotidine",3.09021485997154,0.497058889244131,26.0390849079542,0.263906306708156,1527,1855,12315,16747,4,2,1.12824062246365,1.0098770887232
1,"PS 5 strata",80502,"Osteoporosis",16736,"[Epi 786] C1_ No_Famotidine",16733,"[Epi 786] T1_Famotidine",2.97422691558008,0.153998731778808,18.3747448690834,0.371574730362082,1623,24404,13261,199745,1,6,1.08998414491883,1.21986631128171
1,"PS 5 strata",140673,"Hypothyroidism",16736,"[Epi 786] C1_ No_Famotidine",16733,"[Epi 786] T1_Famotidine",2.60303041422436,0.391388700557427,10.3488338374821,0.252169980660211,1623,24404,13231,199692,2,10,0.956676310240888,0.835456151291986
